Head to head statistics:

 1) Goldfish v2.0.0-rc7 2050.6 :    650 (+322,=216,-112),  66.2 %
    Goldfish v1.3              :     42 (  15,   24,   3),  64.3 :  +107.5
    Goldfish v1.2              :     42 (  22,   15,   5),  70.2 :  +138.0
    Goldfish v1.1              :     43 (  23,   20,   0),  76.7 :  +179.2
    Goldfish v1.0              :     33 (  16,   14,   3),  69.7 :  +184.5

14) Goldfish v1.8.2     1809.4 :    783 (+201,=382,-200),  50.1 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     32 (   8,  16,   8),  50.0 :   -97.3
    Goldfish v1.11.1           :     32 (   6,  18,   8),  46.9 :   -84.1
    Goldfish v1.9.0            :    247 (  52,  87, 108),  38.7 :   -69.4
    Goldfish v1.7.0            :    246 (  33, 160,  53),  45.9 :    -4.9
    Goldfish v1.6.0            :     32 (   9,  12,  11),  46.9 :   +25.1
    Goldfish v1.5.1            :     32 (  15,  15,   2),  70.3 :   +82.7
    Goldfish v1.4              :     32 (  10,  20,   2),  62.5 :   +87.9
    Goldfish v1.3              :     32 (  11,  19,   2),  64.1 :  +102.6
    Goldfish v1.2              :     32 (  17,  11,   4),  70.3 :  +133.1
    Goldfish v1.1              :     33 (  22,  10,   1),  81.8 :  +174.3
    Goldfish v1.0              :     33 (  18,  14,   1),  75.8 :  +179.6

15) Goldfish v1.7.1     1807.2 :    477 (+97,=294,-86),  51.2 %

    vs.                        :  games (  +,   =,  -),   (%) :    Diff
    Goldfish v1.7.0            :    250 ( 38, 168, 44),  48.8 :    -7.1
    Goldfish v1.6.0            :     77 ( 19,  45, 13),  53.9 :   +22.8
    Goldfish v1.7.2            :    150 ( 40,  81, 29),  53.7 :   +25.8

16) Goldfish v2.0.0-rc4 1803.7 :     57 (+12,=15,-30),  34.2 %

    vs.                        :  games (  +,  =,  -),   (%) :    Diff
    Goldfish v1.13.0           :     28 (  5,  6, 17),  28.6 :  -179.3
    Goldfish v2.0.0-rc3        :     29 (  7,  9, 13),  39.7 :   -58.4

17) Goldfish v1.8.0     1799.8 :    650 (+133,=382,-135),  49.8 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.7.0            :    150 (  34,  84,  32),  50.7 :   -14.5
    Goldfish v1.8.1            :    500 (  99, 298, 103),  49.6 :    +2.9

18) Goldfish v1.8.1     1796.8 :   1000 (+184,=603,-213),  48.5 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.7.0            :    500 (  81, 305, 114),  46.7 :   -17.4
    Goldfish v1.8.0            :    500 ( 103, 298,  99),  50.4 :    -2.9

19) Goldfish v1.6.0     1784.4 :   1151 (+294,=662,-195),  54.3 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     32 (   9,   9,  14),  42.2 :  -122.4
    Goldfish v1.11.1           :     32 (   3,  14,  15),  31.2 :  -109.2
    Goldfish v1.9.0            :     32 (   3,  16,  13),  34.4 :   -94.5
    Goldfish v1.7.0            :    192 (  31, 105,  56),  43.5 :   -29.9
    Goldfish v1.8.2            :     32 (  11,  12,   9),  53.1 :   -25.1
    Goldfish v1.7.1            :     77 (  13,  45,  19),  46.1 :   -22.8
    Goldfish v1.5.1            :    292 (  76, 181,  35),  57.0 :   +57.6
    Goldfish v1.5              :    260 (  77, 163,  20),  61.0 :   +60.0
    Goldfish v1.4              :     42 (  10,  26,   6),  54.8 :   +62.8
    Goldfish v1.3              :     42 (  11,  28,   3),  59.5 :   +77.6
    Goldfish v1.2              :     42 (  16,  25,   1),  67.9 :  +108.0
    Goldfish v1.1              :     43 (  16,  25,   2),  66.3 :  +149.2
    Goldfish v1.0              :     33 (  18,  13,   2),  74.2 :  +154.5

20) Goldfish v1.7.2     1781.4 :    150 (+29,=81,-40),  46.3 %

    vs.                        :  games (  +,  =,  -),   (%) :    Diff
    Goldfish v1.7.1            :    150 ( 29, 81, 40),  46.3 :   -25.8

21) Goldfish v1.5.1     1726.7 :   1435 (+203,=885,-347),  45.0 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     32 (   1,  12,  19),  21.9 :  -180.0
    Goldfish v1.11.1           :     33 (   2,  14,  17),  27.3 :  -166.8
    Goldfish v1.9.0            :     32 (   2,  12,  18),  25.0 :  -152.1
    Goldfish v2.0.0-rc1        :    110 (   8,  63,  39),  35.9 :  -110.6
    Goldfish v1.7.0            :    192 (  18, 117,  57),  39.8 :   -87.6
    Goldfish v1.8.2            :     32 (   2,  15,  15),  29.7 :   -82.7
    Goldfish v1.6.0            :    292 (  35, 181,  76),  43.0 :   -57.6
    Goldfish v1.5              :    260 (  45, 172,  43),  50.4 :    +2.3
    Goldfish v1.4              :    292 (  50, 197,  45),  50.9 :    +5.2
    Goldfish v1.3              :     42 (   6,  30,   6),  50.0 :   +19.9
    Goldfish v1.2              :     42 (  10,  25,   7),  53.6 :   +50.4
    Goldfish v1.1              :     43 (  13,  28,   2),  62.8 :   +91.6
    Goldfish v1.0              :     33 (  11,  19,   3),  62.1 :   +96.9

22) Goldfish v1.5       1724.4 :   1145 (+174,=761,-210),  48.4 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.7.0            :     10 (   1,   5,   4),  35.0 :   -89.9
    Goldfish v1.6.0            :    260 (  20, 163,  77),  39.0 :   -60.0
    Goldfish v1.5.1            :    260 (  43, 172,  45),  49.6 :    -2.3
    Goldfish v1.4              :    510 (  88, 352,  70),  51.8 :    +2.8
    Goldfish v1.3              :     85 (  12,  61,  12),  50.0 :   +17.6
    Goldfish v1.2              :     10 (   4,   6,   0),  70.0 :   +48.1
    Goldfish v1.1              :     10 (   6,   2,   2),  70.0 :   +89.3

23) Goldfish v1.4       1721.5 :   1325 (+236,=821,-268),  48.8 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     32 (   2,  10,  20),  21.9 :  -185.2
    Goldfish v1.11.1           :     33 (   6,  10,  17),  33.3 :  -172.0
    Goldfish v1.9.0            :     32 (   4,  11,  17),  29.7 :  -157.3
    Goldfish v1.7.0            :     42 (   3,  23,  16),  34.5 :   -92.7
    Goldfish v1.8.2            :     32 (   2,  20,  10),  37.5 :   -87.9
    Goldfish v1.6.0            :     42 (   6,  26,  10),  45.2 :   -62.8
    Goldfish v1.5.1            :    292 (  45, 197,  50),  49.1 :    -5.2
    Goldfish v1.5              :    510 (  70, 352,  88),  48.2 :    -2.8
    Goldfish v1.3              :     92 (  20,  53,  19),  50.5 :   +14.7
    Goldfish v1.2              :     92 (  30,  49,  13),  59.2 :   +45.2
    Goldfish v1.1              :     93 (  37,  52,   4),  67.7 :   +86.4
    Goldfish v1.0              :     33 (  11,  18,   4),  60.6 :   +91.7

24) Goldfish v1.3       1706.8 :    680 (+118,=392,-170),  46.2 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     32 (   4,   9,  19),  26.6 :  -199.9
    Goldfish v1.11.1           :     33 (   2,   9,  22),  19.7 :  -186.7
    Goldfish v1.9.0            :     32 (   4,  13,  15),  32.8 :  -172.0
    Goldfish v1.7.0            :     42 (   3,  24,  15),  35.7 :  -107.5
    Goldfish v1.8.2            :     32 (   2,  19,  11),  35.9 :  -102.6
    Goldfish v1.6.0            :     42 (   3,  28,  11),  40.5 :   -77.6
    Goldfish v1.5.1            :     42 (   6,  30,   6),  50.0 :   -19.9
    Goldfish v1.5              :     85 (  12,  61,  12),  50.0 :   -17.6
    Goldfish v1.4              :     92 (  19,  53,  20),  49.5 :   -14.7
    Goldfish v1.2              :    122 (  27,  77,  18),  53.7 :   +30.5
    Goldfish v1.1              :     93 (  25,  53,  15),  55.4 :   +71.7
    Goldfish v1.0              :     33 (  11,  16,   6),  57.6 :   +77.0

25) Goldfish v1.2       1676.3 :    585 (+88,=299,-198),  40.6 %

    vs.                        :  games (  +,   =,   -),   (%) :    Diff
    Goldfish v1.12.0           :     32 (  3,  13,  16),  29.7 :  -230.4
    Goldfish v1.11.1           :     33 (  3,  11,  19),  25.8 :  -217.2
    Goldfish v1.9.0            :     32 (  4,   8,  20),  25.0 :  -202.5
    Goldfish v1.7.0            :     42 (  5,  15,  22),  29.8 :  -138.0
    Goldfish v1.8.2            :     32 (  4,  11,  17),  29.7 :  -133.1
    Goldfish v1.6.0            :     42 (  1,  25,  16),  32.1 :  -108.0
    Goldfish v1.5.1            :     42 (  7,  25,  10),  46.4 :   -50.4
    Goldfish v1.5              :     10 (  0,   6,   4),  30.0 :   -48.1
    Goldfish v1.4              :     92 ( 13,  49,  30),  40.8 :   -45.2
    Goldfish v1.3              :    122 ( 18,  77,  27),  46.3 :   -30.5
    Goldfish v1.1              :     73 ( 20,  42,  11),  56.2 :   +41.2
    Goldfish v1.0              :     33 ( 10,  17,   6),  56.1 :   +46.5

